branch,geometry,xc,pseudopotentials,contribution,i,j,k,raw_value_Ry_au,qe_definition
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,z,z,-377.647254087,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,y,223.710902528,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,x,z,-447.894124804,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,x,223.710902528,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,y,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,x,-447.894124804,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,x,z,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,x,223.710902528,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,y,-223.71090255,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,y,z,-447.894124848,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,y,-447.894124848,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,y,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,x,-447.894124804,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,x,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,y,-447.894124848,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,electronic,z,z,z,-405.650148114,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,y,63.606002438,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,x,z,27.490588331,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,x,63.606002438,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,x,27.490588331,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,x,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,x,63.606002438,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,y,-63.606002444,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,y,z,27.490588334,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,y,27.490588334,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,y,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,x,27.490588331,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,x,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,y,27.490588334,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,y,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@PBEsol-geometry,"B2 (PBEsol-relaxed), UNRELAXED under LDA",LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,xc_derivative,z,z,z,28.002894027,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,y,253.758676075,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,x,z,-395.483284743,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,x,253.758676075,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,y,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,x,-395.483284743,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,x,z,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,x,253.758676075,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,y,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,x,z,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,x,0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,y,-253.758676137,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,y,z,-395.483284875,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,x,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,y,-395.483284875,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,y,z,z,-5.8e-08,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,x,-395.483284743,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,y,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
LDA@LDA-relaxed,C3_vcrelax final geometry (internally consistent),LDA (PZ/PW),Li_LDA.upf/Nb_LDA.upf/O_LDA.upf,total,z,x,z,-0.0,"d(epsilon_ij)/dE_k, Rydberg a.u., symmetrized cartesian axis"
